###COMMUNICATIONS,	
NYSE:SCHW,	NYSE:SCHW/(SP:SPX/5500),
NASDAQ:CME,	NASDAQ:CME/(SP:SPX/5500),
NASDAQ:COIN,	NASDAQ:COIN/(SP:SPX/3300),
NYSE:MET,	NYSE:MET/(SP:SPX/5500),
NYSE:TFC,	NYSE:TFC/(SP:SPX/5500),
NASDAQ:FITB,	NASDAQ:FITB/(SP:SPX/5500),
NASDAQ:EWBC,	NASDAQ:EWBC/(SP:SPX/3300),
NYSE:FHN,	NYSE:FHN/(SP:SPX/3300),
NYSE:IBN,	NYSE:IBN/(SP:SPX/9900),
NYSE:MMC,	NYSE:MMC/(SP:SPX/5500),
NYSE:EQH,	NYSE:EQH/(SP:SPX/3300),
NYSE:FNF,	NYSE:FNF/(SP:SPX/3300),
NYSE:ORI,	NYSE:ORI/(SP:SPX/3300),
NYSE:ESNT,	NYSE:ESNT/(SP:SPX/3300),
NYSE:WBS,	NYSE:WBS/(SP:SPX/3300),
NYSE:V,	NYSE:V/(SP:SPX/5500),
NYSE:SPGI,	NYSE:SPGI/(SP:SPX/5500),
NYSE:SQ,	NYSE:SQ/(SP:SPX/3300),
NYSE:MSCI,	NYSE:MSCI/(SP:SPX/5500),
###HEALTH,	
NYSE:BMY,	NYSE:BMY/(SP:SPX/5500),
NYSE:JNJ,	NYSE:JNJ/(SP:SPX/5500),
NYSE:PFE,	NYSE:PFE/(SP:SPX/5500),
NASDAQ:REGN,	NASDAQ:REGN/(SP:SPX/5500),
NYSE:ZTS,	NYSE:ZTS/(SP:SPX/5500),
NYSE:MRK,	NYSE:MRK/(SP:SPX/5500),
NYSE:NVO,	NYSE:NVO/(SP:SPX/9900),
NYSE:NVS,	NYSE:NVS/(SP:SPX/9900),
NYSE:DHR,	NYSE:DHR/(SP:SPX/5500),
NYSE:ABT,	NYSE:ABT/(SP:SPX/5500),
NYSE:TMO,	NYSE:TMO/(SP:SPX/5500),
NYSE:BDX,	NYSE:BDX/(SP:SPX/5500),
NYSE:EW,	NYSE:EW/(SP:SPX/5500),
NYSE:MDT,	NYSE:MDT/(SP:SPX/5500),
NASDAQ:TECH,	NASDAQ:TECH/(SP:SPX/5500),
NASDAQ:ILMN,	NASDAQ:ILMN/(SP:SPX/3300),
NASDAQ:RVMD,	NASDAQ:RVMD/(SP:SPX/3300),
NYSE:UHS,	NYSE:UHS/(SP:SPX/5500),
NYSE:DVA,	NYSE:DVA/(SP:SPX/5500),
NYSE:LH,	NYSE:LH/(SP:SPX/5500),
NASDAQ:ENSG,	NASDAQ:ENSG/(SP:SPX/3300),
NYSE:DGX,	NYSE:DGX/(SP:SPX/5500),
NYSE:IQV,	NYSE:IQV/(SP:SPX/5500),
NYSE:CVS,	NYSE:CVS/(SP:SPX/5500),
###INDUSTRIALS,	
NYSE:IR,	NYSE:IR/(SP:SPX/5500),
NASDAQ:PCAR,	NASDAQ:PCAR/(SP:SPX/5500),
NYSE:AME,	NYSE:AME/(SP:SPX/5500),
NYSE:ITW,	NYSE:ITW/(SP:SPX/5500),
NYSE:MAS,	NYSE:MAS/(SP:SPX/5500),
NYSE:CSL,	NYSE:CSL/(SP:SPX/3300),
NYSE:AWI,	NYSE:AWI/(SP:SPX/3300),
NYSE:WMS,	NYSE:WMS/(SP:SPX/3300),
NYSE:MLI,	NYSE:MLI/(SP:SPX/3300),
NYSE:VMI,	NYSE:VMI/(SP:SPX/3300),
NYSE:LMT,	NYSE:LMT/(SP:SPX/5500),
NYSE:TDG,	NYSE:TDG/(SP:SPX/5500),
NYSE:GD,	NYSE:GD/(SP:SPX/5500),
NYSE:LHX,	NYSE:LHX/(SP:SPX/5500),
NYSE:BA,	NYSE:BA/(SP:SPX/5500),
NASDAQ:TTEK,	NASDAQ:TTEK/(SP:SPX/3300),
NYSE:MTZ,	NYSE:MTZ/(SP:SPX/3300),
NYSE:FLR,	NYSE:FLR/(SP:SPX/3300),
NYSE:J,	NYSE:J/(SP:SPX/5500),
NYSE:VLTO,	NYSE:VLTO/(SP:SPX/5500),
NYSE:UNP,	NYSE:UNP/(SP:SPX/5500),
NYSE:UPS,	NYSE:UPS/(SP:SPX/5500),
NASDAQ:ODFL,	NASDAQ:ODFL/(SP:SPX/5500),
NYSE:XPO,	NYSE:XPO/(SP:SPX/3300),
NYSE:WCN,	NYSE:WCN/(SP:SPX/3300),
NYSE:KEX,	NYSE:KEX/(SP:SPX/3300),
NYSE:MATX,	NYSE:MATX/(SP:SPX/3300),
NYSE:RELX,	NYSE:RELX/(SP:SPX/9900),
NYSE:TRU,	NYSE:TRU/(SP:SPX/3300),
NYSE:KFY,	NYSE:KFY/(SP:SPX/3300),
NYSE:AIT,	NYSE:AIT/(SP:SPX/3300),
NYSE:FERG,	NYSE:FERG/(SP:SPX/3300),
NYSE:OC,	NYSE:OC/(SP:SPX/3300),
NYSE:SNA,	NYSE:SNA/(SP:SPX/5500),
###MATERIALS,	
NASDAQ:LIN,	NASDAQ:LIN/(SP:SPX/5500),
NYSE:APD,	NYSE:APD/(SP:SPX/5500),
NYSE:ATR,	NYSE:ATR/(SP:SPX/3300),
NYSE:SW,	NYSE:SW/(SP:SPX/5500),
NYSE:BERY,	NYSE:BERY/(SP:SPX/3300),
NYSE:FCX,	NYSE:FCX/(SP:SPX/5500),
NYSE:RIO,	NYSE:RIO/(SP:SPX/9900),
NYSE:BHP,	NYSE:BHP/(SP:SPX/9900),
NYSE:GGB,	NYSE:GGB/(SP:SPX/9900),
NYSE:VALE,	NYSE:VALE/(SP:SPX/9900),
NYSE:EXP,	NYSE:EXP/(SP:SPX/3300),
NYSE:LPX,	NYSE:LPX/(SP:SPX/3300),
###TECHNOLOGY,	
NASDAQ:TXN,	NASDAQ:TXN/(SP:SPX/5500),
NASDAQ:QCOM,	NASDAQ:QCOM/(SP:SPX/5500),
NASDAQ:MU,	NASDAQ:MU/(SP:SPX/5500),
NASDAQ:MPWR,	NASDAQ:MPWR/(SP:SPX/5500),
NASDAQ:AMD,	NASDAQ:AMD/(SP:SPX/5500),
NASDAQ:INTC,	NASDAQ:INTC/(SP:SPX/5500),
NASDAQ:MRVL,	NASDAQ:MRVL/(SP:SPX/3300),
NYSE:TEL,	NYSE:TEL/(SP:SPX/5500),
NASDAQ:ASML,	NASDAQ:ASML/(SP:SPX/9900),
NASDAQ:ARM,	NASDAQ:ARM/(SP:SPX/9900),
NYSE:MSI,	NYSE:MSI/(SP:SPX/5500),
NASDAQ:CSCO,	NASDAQ:CSCO/(SP:SPX/5500),
NASDAQ:SMCI,	NASDAQ:SMCI/(SP:SPX/5500),
NASDAQ:MSFT,	NASDAQ:MSFT/(SP:SPX/5500),
NYSE:PLTR,	NYSE:PLTR/(SP:SPX/5500),
NYSE:CRM,	NYSE:CRM/(SP:SPX/5500),
NASDAQ:PANW,	NASDAQ:PANW/(SP:SPX/5500),
NYSE:FICO,	NYSE:FICO/(SP:SPX/5500),
NASDAQ:CRWD,	NASDAQ:CRWD/(SP:SPX/5500),
NASDAQ:ADSK,	NASDAQ:ADSK/(SP:SPX/5500),
NASDAQ:INTU,	NASDAQ:INTU/(SP:SPX/5500),
NASDAQ:ADBE,	NASDAQ:ADBE/(SP:SPX/5500),
NYSE:AI,	NYSE:AI/(SP:SPX/3300),
NYSE:SNOW,	NYSE:SNOW/(SP:SPX/3300),
TSX:CSU,	TSX:CSU/(SP:SPX/9900),
NYSE:ACN,	NYSE:ACN/(SP:SPX/5500),
NYSE:NET,	NYSE:NET/(SP:SPX/3300),
NYSE:SHOP,	NYSE:SHOP/(SP:SPX/9900),
NYSE:TRI,	NYSE:TRI/(SP:SPX/9900),
NASDAQ:LRCX,	NASDAQ:LRCX/(SP:SPX/5500),
NYSE:SNX,	NYSE:SNX/(SP:SPX/3300),
###UTILITIES,	
NYSE:DUK,	NYSE:DUK/(SP:SPX/5500),
NASDAQ:AEP,	NASDAQ:AEP/(SP:SPX/5500),
NYSE:NGG,	NYSE:NGG/(SP:SPX/9900),
NYSE:AWK,	NYSE:AWK/(SP:SPX/5500),
NYSE:ATO,	NYSE:ATO/(SP:SPX/5500),
###DRUGS,	
CSE:TRUL,	CSE:TRUL/(SP:SPX/9900),
OTC:TCNNF,	OTC:TCNNF/(SP:SPX/9900),
NASDAQ:CGC,	NASDAQ:CGC/(SP:SPX/9900)
